,title,area,numberOfRooms,price,town,district
13631,ZEYTİNBURNUN DA MERKEZİ YERDE SATILIK DAİRE,115.0,2+1,1.200.000,Çırpıcı,Çırpıcı Mh.
13632,NEF13 (2+1) SATILIK ÖN CEPHE YATIRIMLIK VE OTURUMLUK CAZİP DAİRE,86.0,2+1,3.550.000,Maltepe,
13633,ÇİĞDEM MERKEZ ŞUBEDEN SATILIK,100.0,2+1,1.450.000,Çırpıcı,Nuripaşa Mh.
13634,ALTIN EMLAK' TAN TERCÜMAN SİTESİN DE 3+1 ARAKAT SATILIK DAİRE,118.0,3+1,3.900.000,Merkezefendi,
13635,KARADENİZ EMLAK 2+1 SATILIK DAİRE,100.0,2+1,1.550.000,Çırpıcı,Sümer Mh.
13636,M.A.Y GROUP'TAN M.EFENDİ'DE AYRI GİRİŞLİ DUBLEKS DAİRE video'lu,200.0,4+2,2.600.000,Merkezefendi,
13637,Zeytinburnu Sümer Mah Satılık Daire 3+1 120 m2 Loca mahal Sitesi,120.0,3+1,5.000.000,Çırpıcı,Sümer Mh.
13638,"KURTULUŞ EMLAK YEDİ MAVİ 4,5+1 PEYZAJ VE DENİZ MANZARALI",259.0,4.5+1,26.000.000,Beştelsiz,Kazlıçeşme Mh.
13639,Birlik inş Eml tan Lüks sıfır satılık Daire,120.0,3+1,3.200.000,Çırpıcı,Yeşiltepe Mh.
13640,TELSİZ MAH. DE SATILIK DAİRE,100.0,2+1,1.900.000,Beştelsiz,Telsiz Mah.
13641,ALTINEMLAK ZEYTİNBURNU OLİVİUM YENİDOĞANDA 2+1SATILIK DAİRE,90.0,2+1,1.500.000,Beştelsiz,Telsiz Mah.
13642,BÜYÜK YALI PANORAMİK DENİZ MANRALI SATILIK 4+1 DAİRE - FOR SALE,449.0,4+1,44.000.000,Beştelsiz,Kazlıçeşme Mh.
13643,ÇİĞDEM MERKEZ ŞUBEDEN YEDİ MAVİ PROJESİNDE VATANDAŞLIĞA UYGUN,300.0,4.5+1,22.500.000,Beştelsiz,Kazlıçeşme Mh.
13644,LOCAMAHAL 2.EL SATIS OFSNDN SATILIK LÜX 2+1 118 M 2 DAİRE,118.0,2+1,3.700.000,Çırpıcı,Sümer Mh.
13645,EPÖZDEMİRDEN LOCA MAHALDE 3+1 EN BÜYÜK TİP SATILIK LÜKS DAİRE,178.0,3+1,8.700.000,Çırpıcı,Sümer Mh.
13646,Altin Emlktan Merkezefendi de Dubleks Daire,180.0,5+1,3.550.000,Merkezefendi,Seyitnizam Mah.
13647,TRANSNET'TEN BÜYÜK YALI 1+1 VATANDAŞLIĞA UYGUN ملک مناسب شهروندی,75.0,1+1,8.500.000,Beştelsiz,Kazlıçeşme Mh.
13648,FATİH EMLAKTAN VELİEFENDİDE CADDE ÜSTÜ SATILIK DAİRE 3+1 172 M2,190.0,3+1,2.300.000,Çırpıcı,Veliefendi Mah.
13649,REAL İSTANBULDA 2+1 BALKONLU AÇIK MUTFAK DAİRE,101.0,2+1,5.400.000,Merkezefendi,Seyitnizam Mah.
13650,AKYAPI EMLAK'TAN TELSİZ MAH 2+1 90 M2 KUMAŞÇILAR BÖLGESİ SATILIK,90.0,2+1,1.480.000,Beştelsiz,Telsiz Mah.
13651,LocaMahal // 3+1 // 185m²,185.0,3+1,7.500.000,Çırpıcı,Sümer Mh.
13652,İNİSTANBUL SATILIK BAHÇE KATI 1+1,60.0,1+1,2.750.000,Maltepe,
13653,"ACİL! SAHİLPARK'TA 1+1 ,ARA KAT PEYZAJ MANZARALI DAİRE",75.0,1+1,2.095.000,Çırpıcı,Sümer Mh.
13654,"EMİNE GÖKTÜRK,DEN İNİSTANBUL,DA BOŞ YÜKSEK KAT 2+1",109.0,2+1,4.000.000,Maltepe,
13655,ÇİĞDEM EMLAKTAN OTTOMARE SUİTE DENİZ MANZARALI 1+1 SATILIK,76.0,1+1,5.500.000,Beştelsiz,Kazlıçeşme Mh.
